Tag,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
10561,0.1552,0.3893396993358026,-0.2341396993358026
18142,0.1,0.1978262429605769,-0.0978262429605769
147,0.69,0.7671283045972479,-0.07712830459724795
2640,0.13,0.15070791497181427,-0.020707914971814262
11097,0.0137,0.2248034008325766,-0.21110340083257662
18589,0.17,0.3733113614200298,-0.20331136142002978
1571,0.087,0.14299898835831365,-0.055998988358313656
16688,0.032,0.10034536633775057,-0.06834536633775057
19215,0.06,0.4056037576837381,-0.3456037576837381
1220,0.95,0.38425211017166017,0.5657478898283398
7539,0.041,0.21052290692657524,-0.16952290692657523
4560,0.91,0.546160552473188,0.3638394475268121
2690,0.0011,0.2768769643420333,-0.2757769643420333
8056,0.32,0.4177433098081239,-0.0977433098081239
2858,0.998,0.40193270997829356,0.5960672900217064
10223,0.13,0.1540159882126346,-0.024015988212634592
7796,0.21,0.20629809308514102,0.003701906914858971
14708,0.8,0.6636808553016418,0.13631914469835826
3363,0.009,0.2572548327040754,-0.2482548327040754
12111,0.026,0.39134056853035126,-0.36534056853035124
3854,0.001,0.061386304517022316,-0.060386304517022316
19371,0.32,0.36533032909904406,-0.04533032909904405
9732,0.02,0.2720666783913524,-0.2520666783913524
2251,0.52,0.18063157701362556,0.3393684229863745
5730,0.02,0.3053067684176054,-0.2853067684176054
4094,0.91,0.7609406561619682,0.14905934383803188
19752,0.25,0.3241012329794449,-0.07410123297944488
11750,0.14,0.3644306197850883,-0.22443061978508827
12437,0.9,0.4693043687462294,0.43069563125377064
11419,0.05,0.092326548364425,-0.042326548364424996
3971,0.09,0.13785376736662452,-0.04785376736662453
8484,0.001,0.15106901509379778,-0.15006901509379778
17634,0.007,0.0847873120227623,-0.07778731202276229
6924,0.887,0.8506163365799508,0.03638366342004917
13958,0.007,0.17752992241140433,-0.17052992241140433
14142,0.34,0.398612171481046,-0.05861217148104597
588,0.33,0.4254415330120238,-0.0954415330120238
1170,0.76,0.5459887142800142,0.21401128571998584
4396,0.06,0.6557324647527476,-0.5957324647527475
18373,0.18,0.3926753144433142,-0.21267531444331422
3146,0.42,0.1858178334723784,0.23418216652762158
17510,0.65,0.44740083869227687,0.20259916130772315
9088,0.38,0.29215986577798536,0.08784013422201464
3264,0.88,0.47029264722509545,0.40970735277490455
13851,0.13,0.11728637901309513,0.012713620986904872
3644,0.017,0.07180261904223517,-0.05480261904223517
10264,0.015,0.06352018267529635,-0.048520182675296356
13628,0.26,0.2843484051667408,-0.024348405166740805
19036,0.95,0.6210329868079801,0.3289670131920198
4453,0.13,0.1358506751406923,-0.005850675140692291
20159,0.11,0.38506520154679785,-0.27506520154679787
12222,0.53,0.5072807422511866,0.02271925774881345
1482,0.012,0.10999495967173492,-0.09799495967173492
7341,0.16,0.4014951388779549,-0.2414951388779549
2615,0.47,0.5003886612473251,-0.03038866124732509
16630,0.0639,0.41117364132779377,-0.34727364132779376
19259,0.051,0.2822653785975658,-0.2312653785975658
2435,0.29,0.08029408817837413,0.20970591182162585
3421,0.88,0.5436563097652972,0.3363436902347028
3659,0.28,0.27921967303991135,0.0007803269600886731
18609,0.14,0.31283013228764583,-0.17283013228764582
11838,0.663,0.4917553473350738,0.17124465266492622
2203,0.19,0.32245715507406447,-0.13245715507406447
8707,0.09,0.4276366025104956,-0.33763660251049565
9568,0.26,0.3467157918888155,-0.08671579188881551
9990,0.039,0.13133478576753543,-0.09233478576753543
112,0.4,0.40590158607089,-0.005901586070889975
4305,0.81,0.45145738626586307,0.358542613734137
17472,0.02,0.3137335443215429,-0.29373354432154286
2920,0.03,0.5821065219665774,-0.5521065219665774
15287,0.46,0.4765669575751093,-0.016566957575109287
12552,0.44,0.5018733246949463,-0.061873324694946275
5641,0.674,0.6989259646165524,-0.024925964616552387
15326,0.22,0.3518053458792217,-0.13180534587922169
3218,0.45,0.3924889548325958,0.057511045167404184
13506,0.52,0.3750818434029765,0.1449181565970235
13492,0.58,0.6126965693995299,-0.03269656939952992
649,0.11,0.32511173515340724,-0.21511173515340726
18864,0.49,0.35561392001507236,0.13438607998492763
19264,0.1,0.4832298278411649,-0.3832298278411649
14499,0.009,0.21442321776781106,-0.20542321776781106
13738,0.51,0.4440509398534896,0.06594906014651042
13444,0.066,0.1705746378321915,-0.10457463783219151
1285,0.73,0.5106613144756169,0.21933868552438307
8203,0.03,0.15433660982379502,-0.12433660982379502
17983,0.03,0.2681741931656684,-0.23817419316566837
15054,0.3,0.2670168987831812,0.0329831012168188
15143,0.0121,0.12713219612822357,-0.11503219612822357
4471,0.12,0.18487058922831712,-0.06487058922831712
13791,0.86,0.7615912169882588,0.09840878301174116
12542,0.16,0.4608606446713871,-0.30086064467138707
12919,0.29,0.144202727020084,0.145797272979916
13825,0.34,0.3826009874225734,-0.0426009874225734
3871,0.502,0.33418668925796857,0.16781331074203143
11002,0.1,0.21804340117676357,-0.11804340117676357
9173,0.66,0.30470852307859153,0.3552914769214085
12200,0.0087,0.1159420084906331,-0.1072420084906331
8699,0.16,0.3943398787921057,-0.2343398787921057
13813,0.68,0.3624273963277533,0.31757260367224677
6828,0.77,0.5988128932668698,0.1711871067331302
4051,0.88,0.5829345986612453,0.2970654013387547
12787,0.606,0.316886233495586,0.289113766504414
19237,0.75,0.45757043006178405,0.29242956993821595
11820,0.0021,0.041818311563607546,-0.03971831156360755
780,0.008,0.08078067182422699,-0.07278067182422698
16036,0.1,0.36174638468428516,-0.2617463846842851
4797,0.52,0.48267179261088516,0.037328207389114854
3057,0.18,0.3823167698579311,-0.20231676985793112
802,0.147,0.23144562959984644,-0.08444562959984644
5154,0.96,0.8254361975845484,0.13456380241545152
16888,0.001,0.23922096533364,-0.23822096533364
1052,0.0189,0.09900250035349206,-0.08010250035349206
5552,0.01248,0.2581858387997743,-0.2457058387997743
4090,0.86,0.8508050385649093,0.009194961435090687
2151,0.0071,0.29487486750820047,-0.28777486750820047
14096,0.001,0.16442823732226844,-0.16342823732226844
12808,0.36,0.31575795605337,0.044242043946630005
12662,0.68,0.5526645675486602,0.12733543245133983
4288,0.145,0.10646023188069309,0.0385397681193069
6531,0.7,0.3654170376100248,0.33458296238997515
1511,0.248,0.04467989566569697,0.20332010433430303
8702,0.32,0.39198534974427607,-0.07198534974427606
924,0.02,0.2436077341754016,-0.2236077341754016
4154,0.1,0.1571349214406335,-0.05713492144063351
2190,0.01,0.1617678303085419,-0.15176783030854188
5814,0.263,0.3729316102057906,-0.10993161020579056
14982,0.0006,0.1497536873108863,-0.14915368731088632
5420,0.3,0.3674008188847129,-0.06740081888471289
19452,0.0207,0.3415333994085686,-0.3208333994085686
11429,0.0014,0.12703010721811195,-0.12563010721811194
12592,0.044,0.12712983222472884,-0.08312983222472885
2645,0.007,0.1971971152094335,-0.1901971152094335
4353,0.1,0.5080095311026338,-0.4080095311026338
9460,0.018,0.11350817742936126,-0.09550817742936125
5726,0.01,0.08688868841975117,-0.07688868841975117
5837,0.38,0.524650173879303,-0.144650173879303
19384,0.18,0.32777835168337593,-0.14777835168337594
4810,0.05,0.32176977475636015,-0.27176977475636016
6746,0.46,0.675672849185103,-0.21567284918510293
6818,0.0647,0.20379074753311568,-0.13909074753311568
6966,0.074,0.4464820997153829,-0.3724820997153829
13166,0.47,0.5004995786897748,-0.03049957868977482
2702,0.0033,0.1473877883417494,-0.1440877883417494
4018,0.8,0.3490093350407102,0.45099066495928986
12275,0.94,0.5570468143514146,0.3829531856485854
18151,0.08,0.14876031031042902,-0.06876031031042902
5722,0.24,0.28985158009418355,-0.049851580094183556
7661,0.97,0.4723131358453784,0.4976868641546216
4013,0.3,0.41820420255865565,-0.11820420255865566
18098,0.06,0.179164199010386,-0.119164199010386
3357,0.064,0.43713068575629777,-0.37313068575629776
1256,0.019,0.4252571962318572,-0.4062571962318572
16937,0.024,0.37734552804973065,-0.35334552804973063
12329,0.11,0.5408492820790954,-0.43084928207909545
4021,0.057,0.15721044373067242,-0.10021044373067242
4915,0.003,0.4727078698608723,-0.4697078698608723
8629,0.6,0.36887644232973155,0.23112355767026843
4071,0.79,0.675848106978111,0.114151893021889
7802,0.12,0.31566535548991126,-0.19566535548991126
13722,0.73,0.2657362046491852,0.4642637953508148
8425,0.8004,0.6335473054299043,0.16685269457009566
19636,0.46,0.36742611341620357,0.09257388658379645
11808,0.0023,0.04385188745045182,-0.041551887450451824
12847,0.02,0.3823912214134385,-0.3623912214134385
14010,0.042,0.16042805032698226,-0.11842805032698225
12102,0.056,0.34292323228326915,-0.28692323228326916
6171,0.77,0.47640613411157595,0.29359386588842407
1485,0.008,0.08526981737664313,-0.07726981737664312
2408,0.03,0.1436373875472854,-0.11363738754728539
10519,0.001,0.21547146533994965,-0.21447146533994965
4116,0.98,0.19737081332866513,0.7826291866713349
11763,0.55,0.5483842378169572,0.0016157621830428237
13792,0.72,0.5758720507836175,0.1441279492163825
20081,0.17,0.327289241612759,-0.157289241612759
17083,0.02,0.30254756033857483,-0.2825475603385748
5052,0.6,0.5789568261927269,0.021043173807273052
4083,0.78,0.2643677073561384,0.5156322926438617
3482,0.044,0.28441117562537105,-0.24041117562537107
18100,0.17,0.11634794872996154,0.05365205127003847
18597,0.063,0.4291566528839516,-0.3661566528839516
16141,0.96,0.4564195280400536,0.5035804719599464
5277,0.72,0.4486700579922142,0.27132994200778576
1081,0.47,0.026340037438454034,0.44365996256154594
9097,0.31,0.24676206228145492,0.06323793771854508
18125,0.11,0.17421582189472337,-0.06421582189472337
8089,0.011,0.08125294770542629,-0.0702529477054263
12558,0.03,0.37839335407204194,-0.34839335407204197
12973,1.0,0.4856748982603173,0.5143251017396827
19918,0.95,0.2842395492792698,0.6657604507207302
17894,0.96,0.5814799060693364,0.37852009393066355
4156,0.07,0.18202629670315426,-0.11202629670315425
428,0.46,0.23459782350048464,0.22540217649951538
851,0.41,0.2899340536165902,0.12006594638340978
17949,0.22,0.34709894294067906,-0.12709894294067905
6080,0.004,0.18282841857103843,-0.17882841857103843
18514,0.47,0.42745633159190605,0.042543668408093926
13079,0.24,0.29138026864489847,-0.051380268644898475
14629,0.57,0.3528744566095926,0.21712554339040735
5189,0.743,0.5509534464677837,0.19204655353221634
11392,0.033,0.30563234788757926,-0.2726323478875793
13433,0.46,0.38149515749353174,0.07850484250646828
6545,0.54,0.39140720461757006,0.14859279538242998
7225,0.38,0.3511024898602243,0.028897510139775706
15637,0.67,0.34539260810235667,0.32460739189764337
15117,0.0246,0.11228591716185943,-0.08768591716185943
13300,0.13,0.30146183506260493,-0.17146183506260493
13118,0.0051,0.1797498907979236,-0.17464989079792362
16598,0.52,0.16390818525747042,0.3560918147425296
9123,0.102,0.3054099308639429,-0.20340993086394293
19359,0.64,0.2779203846294006,0.3620796153705994
12863,0.2,0.34148713108365975,-0.14148713108365973
7737,0.86,0.6795903605932865,0.1804096394067135
6443,0.001,0.3011684072515888,-0.3001684072515888
5022,0.15,0.34701022444519647,-0.19701022444519647
3525,0.28,0.4007154849648195,-0.12071548496481949
18154,0.12,0.13064546096062524,-0.010645460960625241
4127,0.68,0.7767719536839022,-0.09677195368390212
9160,0.093,0.273001181694925,-0.180001181694925
13235,0.007,0.46824883099762404,-0.46124883099762404
14028,0.047,0.18219289753131476,-0.13519289753131475
17575,0.21,0.02873626893544101,0.18126373106455898
7460,0.13,0.44099082253901034,-0.31099082253901034
14487,0.27,0.5478920007433813,-0.2778920007433813
8364,0.005,0.3093305334686931,-0.3043305334686931
10251,0.6,0.7012901359977868,-0.1012901359977868
17804,0.66,0.664905696002711,-0.0049056960027109575
8252,5e-05,0.44586223184528395,-0.44581223184528396
16578,0.059,0.17493354244115963,-0.11593354244115964
12669,0.73,0.5244299163992511,0.2055700836007489
4989,0.7852,0.38885303620624223,0.3963469637937578
2174,0.5,0.2993192229884014,0.2006807770115986
19463,0.05,0.24220807024907554,-0.19220807024907555
6238,0.404,0.48167697242306895,-0.07767697242306892
1080,0.5,0.4183709352544299,0.08162906474557008
5871,0.66,0.5966073513875593,0.06339264861244076
15290,0.53,0.4765669575751093,0.05343304242489072
1101,0.68,0.32412867447075344,0.3558713255292466
19568,0.77,0.32475561028074895,0.44524438971925107
12441,0.23,0.7233134541065054,-0.4933134541065054
1089,0.072,0.026340037438454034,0.04565996256154596
3516,0.8,0.4191523046455757,0.38084769535442436
558,0.21,0.4997626695414529,-0.2897626695414529
6400,0.21,0.4587433071437724,-0.24874330714377244
15428,0.67,0.583607949347189,0.08639205065281108
4490,0.86,0.47568398591228,0.38431601408772
6454,0.89,0.5044512123189087,0.38554878768109135
