Tag,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
10561,0.1552,0.22371267237811687,-0.06851267237811687,0.21642745639592664
18142,0.1,0.16877536496818235,-0.06877536496818235,0.18799065498603965
147,0.69,0.7194212988752506,-0.02942129887525069,0.18749455092160078
2640,0.13,0.14425321539478356,-0.014253215394783553,0.20789526566092123
11097,0.0137,0.07443687722114645,-0.06073687722114644,0.21141427379193897
18589,0.17,0.23127934350562415,-0.06127934350562414,0.21527313038073756
1571,0.087,0.11401506023515648,-0.027015060235156485,0.20571868989722117
16688,0.032,0.06641456969388243,-0.03441456969388243,0.2043855121553133
19215,0.06,0.1958543552875544,-0.1358543552875544,0.2116895044511064
1220,0.95,0.7584581992851591,0.19154180071484084,0.2140614508793319
7539,0.041,0.09041996153597076,-0.04941996153597076,0.21775932191461778
4560,0.91,0.696390560474574,0.213609439525426,0.19818128322223397
2690,0.0011,0.11691055731032182,-0.11581055731032182,0.2083918797827655
8056,0.32,0.35014885721207745,-0.03014885721207744,0.21382649359119654
2858,0.998,0.443761133665009,0.554238866334991,0.17443379743231532
10223,0.13,0.12881270696868477,0.0011872930313152341,0.20250288194510144
7796,0.21,0.21117717324947774,-0.0011771732494777476,0.2018455325730997
14708,0.8,0.7121513990713872,0.0878486009286128,0.19380468806873252
3363,0.009,0.0814312352362973,-0.07243123523629731,0.21630740204707302
12111,0.026,0.19634119192099064,-0.17034119192099065,0.20812848175405516
3854,0.001,0.045873393127724205,-0.044873393127724204,0.19461706961242115
19371,0.32,0.3373170745738445,-0.017317074573844515,0.2085200901225
9732,0.02,0.09293055570910924,-0.07293055570910924,0.21628058085621715
2251,0.52,0.37365897474055815,0.14634102525944187,0.21016210807207783
5730,0.02,0.08452713129253558,-0.06452713129253558,0.21905799124562417
4094,0.91,0.8311749860814355,0.07882501391856456,0.18282255827619673
19752,0.25,0.29437269476576616,-0.04437269476576616,0.19692792501658934
11750,0.14,0.23730293759713894,-0.09730293759713893,0.20615062703064735
12437,0.9,0.636611249625131,0.263388750374869,0.1806985443807362
11419,0.05,0.16563189008708093,-0.11563189008708093,0.19056470263264505
3971,0.09,0.12134725656064285,-0.031347256560642855,0.18807941058760844
8484,0.001,0.05052154132297221,-0.04952154132297221,0.21666476726152709
17634,0.007,0.030560384242201588,-0.02356038424220159,0.20841229142492348
6924,0.887,0.8597379107539636,0.02726208924603646,0.188254754037336
13958,0.007,0.07132597128264845,-0.06432597128264844,0.21360320168312327
14142,0.34,0.3843845290692398,-0.044384529069239786,0.18105206317776526
588,0.33,0.35902721272521204,-0.029027212725212026,0.21389245528910653
1170,0.76,0.6337808090003136,0.12621919099968637,0.193740393086202
4396,0.06,0.5961187179329349,-0.536118717932935,0.17675392703041912
18373,0.18,0.2595756130425304,-0.07957561304253041,0.20992956425770767
3146,0.42,0.31817137106012816,0.10182862893987182,0.20860257211517905
17510,0.65,0.5359170920714607,0.11408290792853937,0.19475212607611794
9088,0.38,0.32615032915196185,0.053849670848038156,0.19736521477709243
3264,0.88,0.687541607399127,0.19245839260087305,0.2050866470127286
13851,0.13,0.11918195070802043,0.010818049291979576,0.1883157655199807
3644,0.017,0.044461560620928875,-0.027461560620928874,0.198205927933731
10264,0.015,0.04182109582361243,-0.02682109582361243,0.182557752595402
13628,0.26,0.279911890576494,-0.019911890576494007,0.19357991082599443
19036,0.95,0.8414924429988769,0.10850755700112302,0.21230213669042144
4453,0.13,0.13096441886186874,-0.0009644188618687377,0.19617225308053857
20159,0.11,0.19556258110587257,-0.08556258110587257,0.2175654657352562
12222,0.53,0.568274879414913,-0.03827487941491292,0.1836096301543139
1482,0.012,0.07277669312160828,-0.060776693121608286,0.18216542680507639
7341,0.16,0.25736805690571135,-0.09736805690571135,0.20932791108359844
2615,0.47,0.4828468451657819,-0.01284684516578194,0.2122218510882674
16630,0.0639,0.15374850497460155,-0.08984850497460155,0.217291430288859
19259,0.051,0.18317536923348773,-0.13217536923348774,0.19644829771221337
2435,0.29,0.20104842316430147,0.08895157683569851,0.20575540353201913
3421,0.88,0.6414544567756343,0.23854554322436572,0.18711738298568256
3659,0.28,0.272016631432269,0.00798336856773102,0.18346491950304752
18609,0.14,0.18391361675650608,-0.04391361675650607,0.21864566581728773
11838,0.663,0.6132635575314997,0.049736442468500286,0.2139388373925625
2203,0.19,0.28221655986217165,-0.09221655986217164,0.18744002085965705
8707,0.09,0.20839895421175517,-0.11839895421175517,0.2139378924635384
9568,0.26,0.3201902334123086,-0.060190233412308614,0.190929367924696
9990,0.039,0.07560242950990698,-0.03660242950990698,0.20940455224195503
112,0.4,0.4016051805468154,-0.0016051805468153546,0.20945405411851006
4305,0.81,0.6827108675190963,0.1272891324809038,0.2122550853680082
17472,0.02,0.14599214304434013,-0.12599214304434014,0.20945133155850104
2920,0.03,0.5226062093249456,-0.4926062093249456,0.17670482431099493
15287,0.46,0.48570389643556283,-0.025703896435562812,0.19553109451100467
12552,0.44,0.4657839102549982,-0.02578391025499821,0.2081454769706232
5641,0.674,0.6796144081710787,-0.005614408171078611,0.18801174438761892
15326,0.22,0.41160440964532174,-0.19160440964532174,0.18647130918903257
3218,0.45,0.4292227859142039,0.020777214085796136,0.21397806081556361
13506,0.52,0.46150657066134276,0.058493429338657255,0.21681284743691534
13492,0.58,0.5945822688665494,-0.014582268866549453,0.21428480535410452
649,0.11,0.16187722197935683,-0.05187722197935683,0.21922106826227958
18864,0.49,0.4531296697826047,0.036870330217395275,0.21899240604391904
19264,0.1,0.25597834389127283,-0.15597834389127282,0.20912171307324662
14499,0.009,0.06668109144545131,-0.05768109144545131,0.21328401176546946
13738,0.51,0.46898112218077054,0.04101887781922947,0.1976752801157802
13444,0.066,0.1145251601000285,-0.0485251601000285,0.20947581507094942
1285,0.73,0.6605193629256606,0.06948063707433938,0.21572736599775932
8203,0.03,0.09494865633774235,-0.06494865633774236,0.1949718595585935
17983,0.03,0.12203480311548981,-0.09203480311548981,0.21494059430948542
15054,0.3,0.2845482353236356,0.015451764676364388,0.21271288411591632
15143,0.0121,0.0670197685505165,-0.0549197685505165,0.20483716011026865
4471,0.12,0.14783736269886588,-0.027837362698865886,0.2073536655407958
13791,0.86,0.8151506933219232,0.04484930667807674,0.2064475158673393
12542,0.16,0.26130566204047173,-0.10130566204047173,0.21407768639368316
12919,0.29,0.23753209452855764,0.05246790547144234,0.21274589407701164
13825,0.34,0.36213001644888926,-0.022130016448889234,0.20816400062582952
3871,0.502,0.43793028221127933,0.06406971778872067,0.21324631411139108
11002,0.1,0.15908322816146298,-0.05908322816146297,0.2086295171091635
9173,0.66,0.5354716728050012,0.12452832719499884,0.21409364776477707
12200,0.0087,0.055030649274987076,-0.046330649274987076,0.19217891108043897
8699,0.16,0.3054757255689069,-0.1454757255689069,0.19494178726849073
13813,0.68,0.5576432258261446,0.12235677417385549,0.21307773703852723
6828,0.77,0.703928226619311,0.06607177338068904,0.21279959584633498
4051,0.88,0.7514485678466327,0.12855143215336728,0.2062751860974382
12787,0.606,0.4616320434527897,0.1443679565472103,0.20815266676208427
19237,0.75,0.6519499892671548,0.09805001073284525,0.21608271569576115
