,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_oxazole,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
14758,15.34830542440608,15.34830542440608,0.1529830384917194,-0.4508807731336588,0.0601292666544304,14.073170731707316,1095.3899999999996,1020.7979999999992,1094.544517328,420,0,0.2610252518351523,-0.4566742866792405,0.4566742866792405,0.2610252518351523,0.3048780487804878,0.5121951219512195,0.6951219512195121,16.491656788951552,9.802458361667131,2.4135334552933467,-2.3232816425513407,2.5789003578790504,-2.407840865263105,6.444589888517822,0.0592548781586118,1.1996810007008754,1.355257315425506,3522.417895224018,58.533711511285134,49.95005958562259,49.95005958562259,38.75875705328218,28.98545592513202,28.98545592513202,26.42580472254265,26.42580472254265,16.3300620148804,16.3300620148804,11.567290050753218,11.567290050753218,-8.239999999999997,3.0708655733712097e+18,55.65868629066173,20.3289005763924,9.771068017332892,481.1921165054852,18.9474518152002,45.99609466627124,0.0,0.0,23.628718917406022,0.0,28.97796819798824,0.0,0.0,0.0,158.30490058921364,129.55181591176648,56.17930652754352,22.253805966787983,38.12560055148748,66.71851263312439,0.0,9.799819461700956,0.0,144.27556916495988,13.08951281182515,165.8349533028082,45.99609466627124,18.9474518152002,0.0,45.99609466627124,0.0,46.51805119093213,21.65996187758712,0.0,186.30136795723607,121.32734136923226,0.0,43.089793715718365,111.68,23.628718917406022,0.0,19.178148736287287,57.003280656200246,101.9275316278416,35.09544921264,9.799819461700956,24.26546827384644,110.90934749476703,83.08484639628746,18.9474518152002,28.85703635829746,0.0,64.0635403494516,3.7409242088525305,4.899586563806263,1.3634702485891572,38.7234110594379,2.7061597844177663,30.31253809381399,0.0,0.3333333333333333,82,0,10,0,2,2,4,9,0,9,0,0,8,0,10,2,14,0,0,0,0,0,13.798535363603378,11,18.88859999999999,329.0660000000009,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17898,15.22008314436886,15.22008314436886,0.4180248488284206,-4.001018518518519,0.5951973093813302,18.0,300.073,288.985,300.08816443200004,110,0,0.7376021779210676,-0.4598151824360995,0.7376021779210676,0.4598151824360995,1.0454545454545454,1.818181818181818,2.636363636363636,19.248067915192134,9.910570100892858,2.5176302501636343,-2.272787783103957,2.335079546738412,-2.553021672680256,6.6459718854407175,0.4962018879784408,3.059142032324943,1.94391924647834,1130.6164577866907,15.223250160202095,11.930954333083854,11.930954333083854,10.447526874062964,7.050508677842081,7.050508677842081,5.82413954705571,5.82413954705571,4.277191921162697,4.277191921162697,3.489704478404589,3.489704478404589,-2.5650649350649344,184821.12502494376,12.026487641537749,3.4274314746838197,1.247744062995886,122.85021913238864,26.430271188961463,17.10351497939113,11.112485215838149,5.3572304483063045,0.0,6.970048599862962,0.0,0.0,0.0,0.0,0.0,13.847474399381248,29.96904930706717,11.592720824450144,17.46561966129918,30.221809672789227,0.0,8.96465152766228,0.0,13.847474399381248,0.0,51.88323970212662,0.0,15.25921522076399,8.631317787192485,0.0,0.0,11.448161257849872,0.0,13.847474399381248,17.214422832597347,32.73044239254736,0.0,23.251761072926264,34.22,6.970048599862962,0.0,8.631317787192485,0.0,44.7838593560003,8.96465152766228,0.0,44.19861581843384,0.0,0.0,8.834301874106695,43.55834005207021,0.0,0.0,0.4180248488284206,2.276906546569246,1.2398251028806584,4.949243197278912,3.385336829176115,-0.4943432434702282,0.0,0.1333333333333333,22,0,4,0,2,2,0,0,3,3,0,0,2,0,7,5,0,0,0,0,0,0,1.8736346487501117,5,2.00674,78.68300000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17899,15.420916477702193,15.420916477702193,0.0081748918703281,-4.835536895313681,0.451885925091484,18.192307692307693,368.07,357.99,368.07554906000007,134,0,0.7376257669597664,-0.4598149497962778,0.7376257669597664,0.4598149497962778,1.0384615384615383,1.7307692307692308,2.423076923076923,19.413290320457445,9.877408509990328,2.579191088116564,-2.3116105815338046,2.446452875357208,-2.567235503780036,6.648176605095333,-0.0698705935339609,3.1426670463102524,2.0137293317060667,1272.420532229829,18.59349364820517,13.487497482921906,13.487497482921906,12.086372094396715,7.790105118166295,7.790105118166295,6.473310758065237,6.473310758065237,4.717584197729904,4.717584197729904,3.8597204117193527,3.8597204117193527,-2.7750649350649352,859733.1385250031,15.477535356202102,4.305166360800663,1.7114196658904774,141.71176745556397,26.430271188961463,22.676619509460394,11.112485215838149,5.3572304483063045,0.0,13.146347117306435,0.0,0.0,13.17124514302446,0.0,0.0,13.847474399381248,23.89302920023329,11.592720824450144,30.63686480432364,29.718894096024613,0.0,8.96465152766228,0.0,20.02377291682472,0.0,51.88323970212662,0.0,15.25921522076399,21.802562930216943,0.0,0.0,17.624459775293346,0.0,13.847474399381248,17.214422832597347,32.73044239254736,0.0,22.74884549616165,34.22,30.11041895528,13.17124514302446,8.631317787192485,21.872397210347124,20.48514636541116,12.142387175295491,12.13273413692322,13.847474399381248,0.0,0.0,8.834301874106695,83.73544133702865,0.0,0.0,-0.0722529289493574,-2.450032228940957,0.6816004241202651,3.646794690098261,-3.817306547619048,-1.4742447457378018,0.0,0.1875,26,0,4,0,2,2,0,0,3,3,0,0,2,0,10,5,0,0,0,0,0,0,2.5628217139855463,5,2.9392400000000016,83.68100000000003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,5,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6448,5.659655434060421,5.659655434060421,0.1516344798579554,-0.1686646060089833,0.1303896699296139,15.82857142857143,902.1579999999998,850.7499999999994,901.414446632,336,0,0.0979062257054748,-0.3098593676014167,0.3098593676014167,0.0979062257054748,0.2714285714285714,0.5428571428571428,0.8714285714285714,15.173668173399909,9.73280258110284,2.394084464571766,-2.418761294292393,2.5563420684853444,-2.300932591034958,6.2497956104186025,0.6315149463407081,3.384535351090688,1.0293746281348772,3882.045997498776,47.25984434045939,40.28862686075743,40.28862686075743,33.99633627389037,24.585091601025223,24.585091601025223,21.03773606533298,21.03773606533298,16.138905212648584,16.138905212648584,12.60059243528864,12.60059243528864,-8.279999999999998,1.6461303242542576e+16,40.75826763385591,14.379396784573569,5.544192728217021,408.48640902430674,14.699729192551434,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894415,0.0,0.0,162.86976456737594,123.01592926911252,44.079578661170615,56.191120518566414,0.0,94.79817620047628,0.0,9.967957041894415,0.0,57.78739460633408,14.699729192551434,233.5708222094151,0.0,14.699729192551434,51.18647647215206,0.0,0.0,9.967957041894415,16.244971408190338,0.0,74.9231321483257,200.1901132592331,0.0,43.61169972832423,35.50000000000001,0.0,0.0,0.0,16.244971408190338,0.0,60.67385855237492,67.50502659828335,0.0,0.0,256.43226564992824,9.967957041894415,0.0,0.0,18.55236556236426,4.404659405251801,21.280153587255107,0.0,73.79741789577686,0.0,14.0487368826853,0.0,0.1384615384615384,70,0,5,0,3,3,0,10,1,11,0,0,5,0,5,4,3,0,0,0,0,0,8.372561465129378,14,17.41669999999998,292.4890000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14763,15.34830542440608,15.34830542440608,0.1529830384917194,-0.4508807731336588,0.0601292666544304,14.073170731707316,1095.3899999999996,1020.7979999999992,1094.544517328,420,0,0.2610252518351523,-0.4566742866792405,0.4566742866792405,0.2610252518351523,0.3048780487804878,0.5121951219512195,0.6951219512195121,16.491656788951552,9.802458361667131,2.4135334552933467,-2.3232816425513407,2.5789003578790504,-2.407840865263105,6.444589888517822,0.0592548781586118,1.1996810007008754,1.355257315425506,3522.417895224018,58.533711511285134,49.95005958562259,49.95005958562259,38.75875705328218,28.98545592513202,28.98545592513202,26.42580472254265,26.42580472254265,16.3300620148804,16.3300620148804,11.567290050753218,11.567290050753218,-8.239999999999997,3.0708655733712097e+18,55.65868629066173,20.3289005763924,9.771068017332892,481.1921165054852,18.9474518152002,45.99609466627124,0.0,0.0,23.628718917406022,0.0,28.97796819798824,0.0,0.0,0.0,158.30490058921364,129.55181591176648,56.17930652754352,22.253805966787983,38.12560055148748,66.71851263312439,0.0,9.799819461700956,0.0,144.27556916495988,13.08951281182515,165.8349533028082,45.99609466627124,18.9474518152002,0.0,45.99609466627124,0.0,46.51805119093213,21.65996187758712,0.0,186.30136795723607,121.32734136923226,0.0,43.089793715718365,111.68,23.628718917406022,0.0,19.178148736287287,57.003280656200246,101.9275316278416,35.09544921264,9.799819461700956,24.26546827384644,110.90934749476703,83.08484639628746,18.9474518152002,28.85703635829746,0.0,64.0635403494516,3.7409242088525305,4.899586563806263,1.3634702485891572,38.7234110594379,2.7061597844177663,30.31253809381399,0.0,0.3333333333333333,82,0,10,0,2,2,4,9,0,9,0,0,8,0,10,2,14,0,0,0,0,0,13.798535363603378,11,18.88859999999999,329.0660000000009,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17902,15.22008314436886,15.22008314436886,0.4180248488284206,-4.001018518518519,0.5951973093813302,18.0,300.073,288.985,300.08816443200004,110,0,0.7376021779210676,-0.4598151824360995,0.7376021779210676,0.4598151824360995,1.0454545454545454,1.818181818181818,2.636363636363636,19.248067915192134,9.910570100892858,2.5176302501636343,-2.272787783103957,2.335079546738412,-2.553021672680256,6.6459718854407175,0.4962018879784408,3.059142032324943,1.94391924647834,1130.6164577866907,15.223250160202095,11.930954333083854,11.930954333083854,10.447526874062964,7.050508677842081,7.050508677842081,5.82413954705571,5.82413954705571,4.277191921162697,4.277191921162697,3.489704478404589,3.489704478404589,-2.5650649350649344,184821.12502494376,12.026487641537749,3.4274314746838197,1.247744062995886,122.85021913238864,26.430271188961463,17.10351497939113,11.112485215838149,5.3572304483063045,0.0,6.970048599862962,0.0,0.0,0.0,0.0,0.0,13.847474399381248,29.96904930706717,11.592720824450144,17.46561966129918,30.221809672789227,0.0,8.96465152766228,0.0,13.847474399381248,0.0,51.88323970212662,0.0,15.25921522076399,8.631317787192485,0.0,0.0,11.448161257849872,0.0,13.847474399381248,17.214422832597347,32.73044239254736,0.0,23.251761072926264,34.22,6.970048599862962,0.0,8.631317787192485,0.0,44.7838593560003,8.96465152766228,0.0,44.19861581843384,0.0,0.0,8.834301874106695,43.55834005207021,0.0,0.0,0.4180248488284206,2.276906546569246,1.2398251028806584,4.949243197278912,3.385336829176115,-0.4943432434702282,0.0,0.1333333333333333,22,0,4,0,2,2,0,0,3,3,0,0,2,0,7,5,0,0,0,0,0,0,1.8736346487501117,5,2.00674,78.68300000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19325,18.08749170803769,18.08749170803769,0.0343806350976265,-4.762464535975089,0.0937041806470666,16.767857142857142,764.5260000000001,714.126,764.4056005200001,292,0,0.8346869890749894,-0.4911545558709978,0.8346869890749894,0.4911545558709978,0.6964285714285714,1.2857142857142858,1.875,19.250970397462705,9.82894109808276,2.660767109280316,-2.364281161471841,2.494177615558576,-2.692274153112939,6.610849390667856,-0.5467652077163189,3.875733828521624,1.5198807606814642,2419.350599560413,39.73311108189346,33.32950465668664,33.32950465668664,26.77010194033084,20.172138544253052,20.172138544253052,16.51270119935622,16.51270119935622,12.151594558897182,12.151594558897182,8.66381411197144,8.66381411197144,-4.990129870129868,3525970442365.736,37.91070710676866,13.885603316082522,5.762717213299426,326.4179641936623,35.69258679795889,22.356017798585697,11.456204184712009,11.536089500770627,0.0,13.940097199725924,8.96465152766228,0.0,0.0,0.0,128.74675050569292,52.64317381896,17.323746555007066,24.98371203070818,35.70101300964735,36.25828816779841,0.0,8.95622531597382,11.835812092322788,79.56443735893518,13.213763929025836,125.10659872625084,17.00689131982936,9.214975611786958,17.26263557438497,5.749511833283905,0.0,46.30831031717165,10.15185342319683,11.835812092322788,96.79468236578076,102.46136325000847,0.0,27.86388545184725,35.21,19.355087669122703,0.0,17.26263557438497,57.06330286114796,35.84934361735991,49.167614827037134,0.0,54.60695665452676,57.169414009841525,27.694948798762496,9.473725907600098,89.07402616970889,0.0,0.0,0.0,2.4233185390972243,0.7724185750943027,24.76390394105217,5.096259386678932,5.453406721701827,0.0,0.3636363636363636,56,0,6,0,3,3,0,3,2,5,0,0,2,0,12,5,12,0,0,0,0,0,9.400232862799644,8,10.441999999999997,217.3423999999993,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,6,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14810,11.471162740652558,11.471162740652558,0.2506401720766329,-0.9298031666311768,0.1680727334546668,19.0,724.3210000000001,679.969,723.29841198809,268,0,0.3351786410396926,-0.4776392486583756,0.4776392486583756,0.3351786410396926,0.7358490566037735,1.339622641509434,2.0,35.49570678300721,9.808203921795464,2.440861258146957,-2.2724601345053306,2.48496882696137,-2.2720104456104666,6.323336990755771,-0.4545606991437247,3.488394658550306,1.2222233967078469,2270.6276224461626,37.4926241058873,30.565854725662035,31.32178367168049,25.356247607865697,18.104342561392123,18.48230703440135,15.115900123111,15.493864596120224,11.022679817386363,11.50815894953478,8.060293839661442,8.375264233835798,-5.459999999999998,681689771982.6284,35.92156104750424,14.167182955225382,6.7979313869685,315.9354122391097,15.11296452053189,0.0,12.256441408683276,5.687386274683562,0.0,11.9386105759037,0.0,9.589074368143644,4.575525859479815,0.0,98.26412518789763,91.79090676083376,51.64574897385182,16.54189345279077,24.377655017304868,40.62600801827404,0.0,0.0,0.0,70.87690741815925,4.899909730850478,176.62219719821124,0.0,4.899909730850478,11.374772549367124,0.0,11.600939890232516,32.43887622783563,23.91949375061871,0.0,89.92719698586615,143.2414882480293,0.0,0.0,80.85000000000001,11.9386105759037,19.802129157825057,0.0,21.95688392218755,13.08951281182515,69.35136012961782,11.126902983393991,24.26546827384644,24.26546827384644,110.0054013641212,11.600939890232516,2.3370115653710166,7.25152582814761,25.27933704667613,19.60633881612284,11.45825356290321,-1.859606333262352,31.22172484431441,11.58246130688608,10.234064473952172,0.0,0.2391304347826087,53,2,6,1,2,3,0,4,0,4,0,0,3,2,7,2,9,0,0,0,0,0,9.602025045231889,7,10.700699999999994,212.58899999999943,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17900,16.189365048131283,16.189365048131283,0.3365192832283035,-4.209622484030853,0.3461652952841708,15.22222222222222,484.2670000000001,465.1150000000002,484.140593928,178,0,0.7376024963449415,-0.4967677865529578,0.7376024963449415,0.4967677865529578,0.7777777777777778,1.3888888888888888,2.0,19.248077193711342,9.909722164320485,2.519806092280645,-2.2731337873524025,2.368423697906469,-2.552976200475011,6.646285735864851,0.4144463484354032,3.62387864838827,1.3554243289070562,1827.425589561498,24.60371904882607,19.36625306752859,19.36625306752859,17.456189469362098,11.417987959325506,11.417987959325506,8.788343347673488,8.788343347673488,6.779864948331278,6.779864948331278,5.0381173798069865,5.0381173798069865,-4.525064935064934,349594007.6944403,20.814627476297517,7.239318454449908,2.856104687528965,203.19149800353048,35.903997096561554,28.602538645958937,11.112485215838149,5.3572304483063045,0.0,6.970048599862962,0.0,0.0,0.0,0.0,0.0,48.53093654769288,35.029585221999554,31.878682975466816,26.93934556889928,30.221809672789227,0.0,8.96465152766228,0.0,0.0,14.219595082555069,88.89368141207065,34.14642148771068,24.73294112836409,8.631317787192485,11.49902366656781,0.0,25.66775634040494,0.0,0.0,5.693927994848461,81.26137894024025,0.0,45.89915889406914,52.68000000000001,6.970048599862962,0.0,8.631317787192485,0.0,56.28288302256811,20.091554511056277,0.0,68.8362047754541,24.26546827384644,0.0,18.30802778170679,56.86355089458905,0.0,0.0,0.3365192832283035,3.4749624258699923,2.438718952352033,19.53845066254049,3.3783929992453414,-4.209622484030853,3.179027266205632,0.074074074074074,36,0,6,0,2,2,0,2,3,5,0,0,4,0,9,5,4,0,0,0,0,0,4.185658800323909,7,4.741100000000004,133.18499999999997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,16.117411659108086,16.117411659108086,0.0281646300495508,-4.820640216932605,0.3589780383879554,16.818181818181817,455.239,436.08700000000016,455.159219108,168,0,0.7374459360071886,-0.389349974023576,0.7374459360071886,0.389349974023576,0.7878787878787878,1.4242424242424243,2.0303030303030303,19.413293549857283,9.864285971454962,2.580848056795868,-2.335451039176415,2.462568389412064,-2.518797202416247,6.586386799374931,-0.3621010462042108,3.398192257172893,1.7907251581918395,1330.669298456507,23.543241116511,17.81436692020078,17.81436692020078,15.603208846802325,10.335659461844756,10.335659461844756,8.216027269165409,8.216027269165409,6.002368577417749,6.002368577417749,4.520396183634198,4.520396183634198,-3.6150649350649338,33347412.113469608,21.24219903315788,7.197043163494903,3.2161386158740783,186.9882565007357,22.495879045705244,5.573104530069267,11.408724315826536,0.0,0.0,13.146347117306435,0.0,0.0,13.17124514302446,0.0,30.33183534230805,41.96165390246666,48.88607793509962,0.0,26.289101799892315,23.94222440738649,0.0,4.47811265798691,0.0,6.176298517443475,18.99525369620486,95.83649676634678,11.257379486545457,4.899909730850478,27.489949204900512,0.0,0.0,41.9180276130938,0.0,0.0,11.257379486545457,84.57911727980132,0.0,16.830484016614726,11.18,30.11041895528,13.17124514302446,8.631317787192485,11.405612997619162,20.09155451105627,17.829773449979054,12.142387175295491,54.59730361615449,18.99525369620486,0.0,0.0,75.9535151491726,0.0,1.850887494473353,0.0,-0.4123351727847899,0.0,17.486830888375387,-2.369326441422401,-4.610070704207611,3.6838321197267807,0.125,33,0,3,0,2,2,0,2,1,3,0,0,1,0,9,3,3,0,0,0,0,0,4.632758282702635,5,5.802400000000004,120.48940000000005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
