,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_oxazole,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
17407,5.223776614001219,5.223776614001219,0.1995284549158802,-0.1995284549158809,0.0421391742760249,13.27891156462585,1956.6649999999995,1841.7529999999977,1954.8328586479995,716,0,0.1135987593422973,-0.3092316801639685,0.3092316801639685,0.1135987593422973,0.1904761904761904,0.4081632653061224,0.673469387755102,32.14114170190975,9.699758702364743,2.455295226779037,-2.332805210461997,2.600274985681404,-2.255650002941603,7.191100433957742,0.4007395089488078,1.5448975919108017,0.5213119584714246,8626.478963888787,97.6952044994694,83.74030594887884,86.18979569166201,72.72557198666344,53.90154552950324,56.26483543469892,41.79273023638051,44.4887318372098,33.57787283483594,36.44153531431677,26.74640767758409,29.377324358450423,-15.240000000000032,1.1568483472908168e+51,89.38223901906439,36.453076663547066,14.27060267857142,868.6123623687539,27.40259788674813,11.033401435232523,0.0,0.0,0.0,0.0,0.0,0.0,8.747079962832899,22.673571755869474,324.55184095635,263.3088134625222,140.22448091867162,77.92859595659374,0.0,176.27025972127328,0.0,36.14967784958103,0.0,166.94136219607628,0.0,398.36856421140754,98.14051835648252,0.0,0.0,0.0,34.40175910106809,36.14967784958103,10.82998093879356,0.0,178.36518722407075,376.1147582446196,0.0,240.0090189766877,55.36,0.0,0.0,0.0,10.82998093879356,0.0,70.59313600906479,331.8143087381299,0.0,22.673571755869474,431.2123049301301,8.747079962832899,25.57137848380575,5.121713542774421,4.958925720484542,15.017283466468022,39.33108846504965,0.0,144.88284495728556,23.691328228343792,9.4254371357883,0.0,0.1911764705882352,147,0,8,2,0,2,0,17,9,26,0,0,5,0,11,9,30,0,0,0,0,0,22.16501776409144,28,39.47949999999994,628.4150000000024,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0
16972,2.12,2.12,2.12,2.12,0.5776074734119597,3.0,253.808,253.808,253.808946,14,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,127.904,125.904,0.9999999999999998,-0.9999999999999998,1.8857,-0.1142999999999998,15.019999999999998,13.02,1.0,1.0,0.0,2.0,0.7559289460184544,5.070925528371099,1.0,0.1428571428571428,6.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,1.46,2.0,3.46,2.46,0.144931506849315,36.93454135198231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23175900933501,0.0,0.0,37.23175900933501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23175900933501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23175900933501,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4.2558,0,1.7714,28.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19696,13.662675909788366,13.662675909788366,0.0332639975440816,0.0332639975440816,0.021496194767238,14.133333333333333,1863.0959999999995,1734.0719999999983,1860.6065753359997,642,0,0.2656998726197433,-0.2931736114500813,0.2931736114500813,0.2656998726197433,0.275,0.55,0.8583333333333333,32.184484219061,9.990591206847723,2.338140824406516,-2.094425182870041,2.576898931078776,-2.267613698992821,8.268232019608682,-0.1223280487340227,1.5550266573836595,0.9335868319311064,4831.173435792075,83.69629793625793,72.77670251766378,84.207654650652,58.82815959222713,46.28206994618848,56.89652549824898,33.21144004267064,47.44353030400268,23.81848914046405,39.0895590264964,17.024585881549882,32.22639543516228,-3.959999999999996,2.999506342789017e+37,93.6729365793902,48.277032896357404,24.46805644405607,778.9672691135986,0.0,8.641068171117942,0.0,0.0,11.814359458703011,0.0,19.3888938298446,0.0,0.0,113.3678587793474,282.12658867079966,210.23231901341168,132.17735354371035,9.810273027780092,9.589074368143644,214.10713166957956,0.0,9.799819461700956,0.0,325.0644057604173,13.08951281182515,136.50180672783588,79.40696369521218,0.0,0.0,0.0,161.32737556422305,43.34475990334706,48.11400410569969,0.0,328.3018707644544,94.73941198624266,0.0,111.73129217074776,40.620000000000005,0.0,9.589074368143644,0.0,11.814359458703011,21.73058098294309,58.08949715273876,386.260700635389,9.799819461700956,81.86818966698968,183.970745882013,24.43574688609339,4.169909389640447,34.363900766430206,56.9168027872993,2.813682663571683,8.662020310841209,0.0665279950881636,35.15083438430094,56.716833308037096,19.139488394790973,0.0,0.5098039215686274,120,0,4,0,2,2,2,1,10,11,0,0,16,0,18,12,54,0,2,2,0,0,37.68542867284684,13,37.80419999999997,557.2980000000016,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,30,0
1363,12.549337304008777,12.549337304008777,0.1589773499441611,-4.264060747288811,0.303609661972621,12.181818181818182,463.4750000000002,446.33900000000034,463.095039644,166,0,0.2940131040447406,-0.5047482358528607,0.5047482358528607,0.2940131040447406,0.7575757575757576,1.2424242424242424,1.7878787878787878,32.23978430816431,10.15552964737639,2.136444284589832,-2.077308291349594,2.320205238028848,-2.1598043694344224,7.854225912988878,0.4799823310165316,2.815461538565984,1.5367555601361318,1558.3496548482617,23.58721119088101,17.191691560630673,18.0081881415584,15.736202008657775,9.556701668663528,10.996764997464169,6.96389748218242,8.385434682629768,4.7827397866844965,5.650624003798047,3.047545638679142,3.527566748279357,-4.219999999999999,24672677.79168452,21.99112700159728,8.726922032245952,4.684415881711354,187.4997651965572,9.67362704263206,0.0,11.436898107967467,0.0,15.67739375408556,0.0,9.347287057762186,0.0,23.76054736121713,5.114250125629398,12.13273413692322,60.6636706846161,12.433896197141983,27.47434301718472,18.077074252860008,43.77059688984886,0.0,4.567099647791355,27.504672485194774,4.895483475517775,0.0,83.15020890066317,5.749511833283905,5.559266895052008,22.74954509873425,5.749511833283905,0.0,22.64417390065136,17.165798841710743,0.0,0.0,102.94342598364656,0.0,10.902924932081056,146.04,15.67739375408556,18.318861563241462,0.0,16.33238158348524,27.965083756131747,0.0,28.832567921637796,55.57860853037007,0.0,20.45700050251759,4.552749873690364,32.51531861931072,0.0,12.316416307779845,27.013584868704527,1.279730268875162,-0.2334382040355407,18.692690069343456,0.0,0.0,-2.667635263311496,0.0454545454545454,33,2,10,0,0,0,0,3,1,4,0,0,8,2,11,1,5,0,0,0,0,0,5.815601537701762,4,5.321600000000004,121.9044,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,14.143783637138162,14.143783637138162,0.0072731875141451,-1.6533531572305311,0.0959789606988178,13.51578947368421,1370.9849999999994,1318.5689999999993,1368.2001804836398,490,0,0.2552860224469061,-0.8713654415274579,0.8713654415274579,0.2552860224469061,0.4421052631578947,0.8105263157894737,1.168421052631579,35.49898499665158,9.894562707265829,2.2764007980441474,-2.2852766288774924,2.4734806780200684,-2.3334568796637742,6.339876821734725,-0.2681982473131079,0.7499707649333082,0.8025249013800662,4473.118967124753,67.51647469548105,50.62637525912892,53.65009104320272,45.67391550233301,28.911603162885505,30.42346105492241,21.33306574277273,22.961866249735163,15.769499466096333,16.950977726964485,11.180596007530214,11.83524967823819,-9.980000000000004,2.990861940564764e+24,66.47470257599225,28.31095945990052,13.713381568693965,559.0985427700589,92.44092316792717,45.68458245416899,0.0,10.85758078380108,11.814359458703011,0.0,19.178148736287287,0.0,0.0,0.0,70.0355173644211,71.7905736680101,127.90255502440816,112.81390425430824,81.59660086635716,114.84476340648509,0.0,0.0,0.0,0.0,114.69290424555156,171.985601606007,79.39827478763428,70.66453884807773,22.74954509873425,34.49707099970343,46.40375956093006,118.01247761044466,14.210588861400147,0.0,41.43195470307527,127.61798347455938,20.090533254965305,66.83969250014493,316.09,57.23647746836959,49.19333268379375,0.0,160.57221674151668,49.05282183958523,36.39820241076966,76.97012671280302,24.26546827384644,9.799819461700956,10.633577208012662,88.3961021116371,53.48862452043716,25.07975322552999,83.29246621351186,56.41102177261927,0.1739489159198897,-4.870833359606273,23.961517897381206,0.0,2.68425081836061,5.723694440290709,0.2058823529411764,95,2,23,2,3,5,2,6,0,6,0,0,21,2,27,3,14,0,1,1,0,0,19.81013273408275,11,8.846200000000003,348.5584000000008,0,0,0,0,2,0,0,0,2,2,4,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,4,0,0,8,4,0,7,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19698,13.703633155426244,13.703633155426244,0.0828823089339809,-0.0828823089339816,0.0279587746132613,15.34920634920635,1909.122,1770.0179999999982,1906.7468316559996,674,0,0.285827771652841,-0.3507997279833303,0.3507997279833303,0.285827771652841,0.2777777777777778,0.5634920634920635,0.8968253968253969,32.169186843242784,9.990591215211175,2.3230101393060405,-2.2673355239363926,2.5780609428663106,-2.3256789993027125,8.184315976826685,-0.11388770863938,1.5537975541699995,0.8301097642011386,5043.739231106315,86.76736574812344,76.51148737722836,86.30944634836113,62.042068567591286,49.539277220885154,59.337236192017926,36.07527897402983,48.974035902028525,25.910454319256967,40.51485753862267,18.716179726427296,33.07938001551136,-4.799999999999998,2.8286055958003943e+40,95.79838153426005,49.79377055451116,25.57112695433418,804.2183439702304,9.799819461700956,0.0,10.335303539156095,0.0,11.814359458703011,0.0,9.589074368143644,0.0,9.984809465271338,113.3678587793474,234.16707188592412,258.4335442503687,145.2668663555355,9.810273027780092,9.589074368143644,191.3656201515243,0.0,9.799819461700956,9.984809465271338,349.741861098592,26.1790256236503,136.50180672783588,79.40696369521218,0.0,0.0,0.0,136.89162867812965,58.12850808321036,48.11400410569969,0.0,352.9793261026291,104.724221451514,0.0,111.73129217074776,65.34,0.0,9.589074368143644,0.0,11.814359458703011,0.0,110.5328184198466,385.3328683698614,23.52376989878223,45.34714351173895,226.42894656485475,0.0,2.869513528610689,23.361693270892737,67.74994139974174,4.617789632938451,8.734322635167628,-0.1657646178679626,35.38929389902961,64.19247570726915,17.917401210884652,0.0,0.5370370370370371,126,0,6,0,4,4,2,1,10,11,0,0,16,0,18,14,52,0,2,2,0,0,37.85843356833701,15,38.27439999999998,573.0600000000017,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4,0,0,0,0,2,0,0,0,0,0,2,2,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,10,30,0
15497,16.53980953450795,16.53980953450795,0.0150612307148647,-6.876356694130623,0.0531180248137121,16.533333333333335,1273.0479999999995,1226.6799999999992,1272.321505512,472,0,0.4599264390327402,-0.4965439223341786,0.4965439223341786,0.4599264390327402,0.4,0.7888888888888889,1.2,19.43884962419777,9.631612168749824,2.7645995759720785,-2.439282311204845,2.579156607894248,-2.5657794780958536,6.243474672751815,-0.3608766678174782,0.6837350970043921,1.336553434705425,4230.694484488903,64.94792507365824,47.738648173253175,47.738648173253175,42.42944211799164,26.309223357377363,26.309223357377363,20.436000995938937,20.436000995938937,15.188408006473704,15.188408006473704,10.924460623556431,10.924460623556431,-9.900000000000002,2.612561545685553e+23,61.7356323778857,21.99725220791288,10.12806442837412,499.0096847094202,59.16205804642571,45.99609466627124,0.0,11.660024283757195,0.0,36.04271370726526,0.0,19.952766507165755,61.46581066744749,0.0,0.0,46.21308487803138,112.23630439536456,108.0072633029195,99.36071429784788,78.62368136093001,0.0,9.967957041894415,21.820621557594123,36.04271370726526,78.14553474624557,130.77880307659964,45.99609466627124,64.38070802203059,95.59012831554888,45.99609466627124,0.0,108.51382669981332,5.922529168094576,11.835812092322788,11.387855989696924,124.15710657656918,0.0,32.95205892430065,172.46,93.35544838377142,26.34249028604892,35.123320381398564,112.84047734748714,0.0,0.0,153.95955950235057,0.0,0.0,41.21992092319108,37.89490363040039,257.08123277887734,0.0,15.682755622876195,11.81729974507418,-3.692951970851944,-32.51094424168869,19.310479613537357,-11.151563417751156,0.0,10.297025203260054,0.2666666666666666,90,4,16,3,1,4,0,6,1,7,2,0,16,4,30,2,20,0,0,0,0,2,15.089047507014932,11,14.160299999999976,303.4458000000006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,14,5,0,1,6,0,0,6,1,0,8,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1838,11.99162399811248,11.99162399811248,0.1960085229294148,-4.339197573634469,0.0612986058629587,18.46153846153846,912.1629999999996,856.7229999999997,911.34053229991,338,0,0.3351789636675805,-0.7479438793375708,0.7479438793375708,0.3351789636675805,0.7076923076923077,1.323076923076923,1.9692307692307691,32.24117504746437,9.778014283990826,2.4548155968068066,-2.277520142296628,2.5132701816565235,-2.279542267515997,7.854396493537197,-0.4377399556770968,3.618814033833212,1.2488736082412804,3101.436547293883,46.3126150621962,37.341055377519154,38.97404853937459,30.848140333888963,22.357872869908668,25.51257340828792,18.4514217644303,21.498628488658834,13.399818865064717,14.977169134254336,10.41820141963949,11.533556491289897,-5.6599999999999975,154349228903731.84,45.89120455017042,17.96159450134803,9.40236628165532,382.06460760945873,19.11193687307191,6.544756405912575,5.711685002770702,5.687386274683562,0.0,5.969305287951849,0.0,21.630131152729696,4.575525859479815,0.0,92.72955236612674,132.10500594907862,58.97653996646082,31.214695679160883,40.41768415443095,70.41001794608522,0.0,0.0,0.0,83.47068109803814,29.49512975616921,160.46300786270368,0.0,4.899909730850478,11.374772549367124,0.0,0.0,71.8993572864004,31.066234656860665,0.0,99.68904331010438,138.2092018959157,0.0,27.11800138792845,157.95000000000002,48.54124715830609,35.84215829495113,0.0,18.40509473754901,25.93115605767717,85.87362367373566,11.126902983393991,12.13273413692322,36.39820241076966,110.0054013641212,0.0,71.48972553418366,0.0,14.261662138856746,14.37084226505328,10.03847282193546,-1.8240048735016632,32.18038394601191,12.735719432454722,9.925593882274828,-8.678395147268937,0.320754716981132,65,1,10,1,2,3,0,5,0,5,0,0,8,1,12,2,15,0,0,0,0,0,12.681218573978134,8,10.520199999999994,258.1630999999993,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18705,16.858812780313414,16.858812780313414,0.3088337363459636,-5.525194699201911,0.0527944937820389,14.19047619047619,1196.498,1162.2259999999997,1196.2548515279998,436,0,0.5250010495361807,-0.6498984596184085,0.6498984596184085,0.5250010495361807,0.2976190476190476,0.5119047619047619,0.7261904761904762,19.19841984841701,9.390644905499965,2.608394761346559,-2.4366428973427103,2.4491108323040263,-2.748999568787433,6.933570157346819,-0.3047584339355656,2.46784322619422,1.3798982868039966,3658.006133960975,61.08144585293668,43.23067185489232,43.23067185489232,39.796052487499104,25.1260109028559,25.1260109028559,19.1704071200993,19.1704071200993,15.1726098532198,15.1726098532198,11.17481610281125,11.17481610281125,-8.71012987012987,3.1969072764132454e+18,58.48506499672497,21.170958214445807,8.263264409687059,460.7931615549848,28.081613469102383,58.96696788743779,81.18142264191786,0.0,0.0,12.9674711949607,0.0,87.80830095349641,0.0,0.0,0.0,98.0770983881147,72.59171487579346,22.6259266499618,106.09009496089784,80.7698789233545,0.0,0.0,0.0,27.694948798762496,35.97884508535126,200.26772462585123,11.49902366656781,40.95974877141098,110.55784605223069,11.49902366656781,0.0,60.54877571703237,0.0,116.3444168209179,38.821851782156486,72.79640482153933,0.0,10.772448428929591,30.960000000000004,195.93624868579644,17.56166019069928,70.24664076279713,0.0,58.95607707143879,48.53093654769288,24.26546827384644,37.49476826046345,0.0,0.0,9.308716268050691,333.7641527745595,0.0,3.4251562731480893,-1.5500502501387723,-10.961786647193357,-60.22481775255195,12.789460432797046,1.2950344931191864,-2.8704826570730133,0.0,0.1428571428571428,84,0,6,0,2,2,0,8,0,8,0,0,4,0,28,2,12,0,0,0,0,0,14.740296038271564,10,12.138399999999985,270.35480000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6046,15.021771545106477,15.021771545106477,0.0962758968635015,-2.3363800707478344,0.0935616255842828,24.71264367816092,1214.3449999999996,1134.7129999999995,1213.5767734479998,472,0,0.3309668333108148,-0.4519716791659822,0.4519716791659822,0.3309668333108148,0.6091954022988506,1.0344827586206895,1.4482758620689655,16.56634271030651,9.988054402999865,2.4611160213383982,-2.326161195259051,2.3659742235779064,-2.5888870996325744,6.111150817973034,-0.1660235174389793,1.3018464362067876,1.3341070760297613,3360.510618748989,64.69217631694589,51.47957610325824,51.47957610325824,40.69094669189292,28.91147137927112,28.91147137927112,24.146722416219426,24.146722416219426,16.5261201710049,16.5261201710049,11.517049149708704,11.517049149708704,-8.920000000000002,6.523549431069316e+19,65.62023941676678,25.96628672909057,12.963086720089604,501.70277409977496,76.02482460010602,47.46167368735248,11.343267560516685,40.87186876800958,36.08452125887576,11.9386105759037,52.73990902479004,14.573052889090851,0.0,0.0,55.38989759752498,69.26875214419248,58.09449000061146,29.903802069902703,71.42532305351531,93.4849012780444,0.0,55.65059132207541,23.671624184645573,143.6275058049678,65.83704850868341,38.54350061122195,11.454175413722904,38.16327976225024,11.374772549367124,0.0,0.0,208.4704056461854,57.41909774831831,37.519098584026814,112.91606442416064,15.27805518958678,0.0,22.553896272981408,386.0,184.41539982707357,57.53444620886186,4.794537184071822,59.60541359388765,12.84164324585202,20.766096261013043,56.73789152264143,55.38989759752498,0.0,26.25113293697253,25.358211798977816,17.91417654713142,0.0,197.72772116707492,9.888869105009665,8.774685964195571,-14.223914976704233,-6.384909557209677,-3.2062917864162293,14.942764237788042,5.400232632463809,0.5862068965517241,87,8,29,1,5,6,10,1,0,1,8,0,19,6,29,5,8,0,4,4,0,8,19.585217838245256,7,-0.5541599999999993,310.96560000000034,0,0,0,2,0,1,0,0,0,0,12,12,0,0,0,7,4,2,0,4,0,0,0,0,0,0,10,0,2,1,0,2,4,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
